the_geom,the_geom_webmercator,objectid,serialnum,description,recycler,lat,lng,
0101000020E6100000308B601251CA52C096C4DA415AFB4340,0101000020110F0000B9191D94CEEA5FC1BEE47CDFBE8A5241,754,174528,Sw Broad/Green,yes,39.96369193,-75.16119823,19130
0101000020E6100000759386D462CE52C09730D8C9D9FA4340,0101000020110F00006BEB2A1CB8F15FC174128885308A5241,755,174529,Se 52nd/Market,yes,39.95977138,-75.22478212,19139
0101000020E61000005D7577EB1FCA52C089A7C12D1BFD4340,0101000020110F00005D25C6167BEA5FC1586EB75EB08C5241,756,174530,Nw Broad/Oxford,yes,39.97739193,-75.15819823,19122
0101000020E61000007CA11697CDCA52C0F139147CECF64340,0101000020110F0000535DEA15A2EB5FC14F7744DDD6855241,757,174531,Sw Broad/Morris,yes,39.92909194,-75.16879823,19148
0101000020E6100000DF4407E865CE52C08F7BC72DE6FA4340,0101000020110F0000C5FBD155BDF15FC14B1B24403E8A5241,758,174532,Nw 52nd/Market,yes,39.9601495,-75.22496987,19139
0101000020E61000001C37CBACC8CA52C0ED99FCA21DF74340,0101000020110F0000175493BC99EB5FC1509E694D0D865241,759,174533,Nw Broad/Tasker,yes,39.93059194,-75.16849823,19146
0101000020E610000097B62D496BCE52C0C99436B67EFA4340,0101000020110F0000BF630C79C6F15FC1FE73A19BCB895241,760,174534,Ne 52nd/Walnut,yes,39.95699194,-75.22529821,19139
0101000020E6100000F82AD3F41CCA52C0F576A2E849FD4340,0101000020110F0000EE06250E76EA5FC13EE78029E48C5241,761,174535,Nw Broad/CB Moore,yes,39.97881802,-75.15801736,19121
0101000020E61000000341A2D369CC52C0143ACB6026014440,0101000020110F0000B33D904F5EEE5FC1F8539AF62B915241,762,174536,Ridge Ave & Midvale,yes,40.00898371,-75.19395915,19129
0101000020E61000004B22C08967CE52C00870E0B6A9FA4340,0101000020110F00006D025D1BC0F15FC15C442F41FB895241,763,174537,Se 52nd/Chestnut,yes,39.95830427,-75.22506946,19139
0101000020E6100000FE019E1C28CA52C0A63E3852B2FC4340,0101000020110F00006BCCFE0089EA5FC1700D4B283C8C5241,764,174538,Se Broad/Master,yes,39.97419193,-75.15869823,19122
0101000020E6100000349D59223ACA52C0B919C64F18FC4340,0101000020110F00007E82E29DA7EA5FC168FCE17A918B5241,765,174543,Ne Broad/Parrish,no,39.96949193,-75.15979823,19123
0101000020E610000047DD492401CA52C0CAE47E1A41FE4340,0101000020110F0000317732CF46EA5FC1E38E2227F68D5241,766,174544,Nw Broad/Susquehanna,no,39.9863618,-75.15631969,19132
0101000020E6100000FDE13260B3CA52C063D69F3EE2F74340,0101000020110F0000BF4BCB8E75EB5FC1CF040E11E7865241,767,174546,Sw Broad/Ellsworth,no,39.93659194,-75.16719823,19146
0101000020E610000034C9AEDEAECD52C09623A3AA5A024440,0101000020110F0000884BE76D86F05FC12AEB70D381925241,768,174547,Main Street (across from CVS),no,40.01839192,-75.21379821,19127
0101000020E61000004DB6B2BFB5CA52C0BEF63D2AC8F74340,0101000020110F00003260B19679EB5FC17556F82DCA865241,769,174548,Nw Broad/Federal,no,39.93579605,-75.16734307,19147
0101000020E6100000990000E0FBC952C01C36C6FB34FE4340,0101000020110F00004F4FFEDC3DEA5FC103AFE5B7E88D5241,770,174549,Se Broad/Susquehanna,no,39.98599193,-75.15599823,19122
0101000020E6100000660AE975AECA52C01F6BA03EE2F74340,0101000020110F0000AFEE76356DEB5FC18EA90E11E7865241,771,174550,Se Broad/Ellsworth,no,39.93659194,-75.16689823,19147
0101000020E6100000D4F6CAE4F2C852C03DA6594D2DFF4340,0101000020110F0000225E11C47BE85FC1A25FD9FBFB8E5241,772,174551,Se 5th/Sommerset,no,39.99357001,-75.13982506,19133
0101000020E6100000F5BECBACC8CA52C09DF2F0C2EFF64340,0101000020110F0000D63A94BC99EB5FC1A70D567EDA855241,773,174552,Se Broad/Morris,no,39.92919194,-75.16849823,19148
0101000020E6100000B5C5B287B1CA52C04C07AD31C6F74340,0101000020110F00005060346C72EB5FC1557517FFC7865241,774,174553,Ne Broad/Federal,no,39.9357359,-75.16708558,19147
0101000020E610000037E96081D2CA52C040116CD79DF64340,0101000020110F0000E0783F6FAAEB5FC18EBD10C47F855241,775,174554,Se Broad/Mifflin,no,39.92669194,-75.16909823,19148
0101000020E61000007855533223CA52C0AEB84432E0FC4340,0101000020110F0000A905A9A780EA5FC198FCEEFF6E8C5241,776,174555,Se Broad/Jefferson,no,39.97559193,-75.15839823,19122
0101000020E6100000E7D320C735CA52C0ABCD4C875DFC4340,0101000020110F0000317D9137A0EA5FC1CAF0BF2FDE8B5241,777,174556,Nw Broad/Girard,no,39.97160426,-75.15953234,19121
0101000020E6100000DEAF7A632BCA52C0D92E0C71BEFC4340,0101000020110F00003B0AE3918EEA5FC1311A0E97498C5241,778,174557,Nw Broad/Master,no,39.97456182,-75.15889823,19121
0101000020E6100000502B0DFC31CB52C0E7400FB20BF84340,0101000020110F0000E663969D4CEC5FC110C6F8FA14875241,779,174558,NE 19th and Ellsworth,no,39.93785692,-75.17492582,19146
0101000020E6100000272B09481ECA52C0AEF251120EFD4340,0101000020110F0000131C544E78EA5FC18102D8D7A18C5241,780,174559,Se Broad/Oxford,no,39.97699193,-75.15809823,19122
